"Cell type","Evidence type","Feature name","Location","Source"
"A549","DNase1 & TFBS","DNase1","13:32315692-32316237","ENCODE"
"A549","Hists & Pols","H3K4me3","13:32314785-32316918","ENCODE"
"A549","Hists & Pols","H3K4me1","13:32314880-32315360","ENCODE"
"A549","Hists & Pols","H3K4me1","13:32316300-32316900","ENCODE"
"A549","Hists & Pols","H3K4me1","13:32317000-32317240","ENCODE"
"A549","Hists & Pols","H3K9ac","13:32314908-32316888","ENCODE"
"A549","Hists & Pols","H3K4me2","13:32314913-32316939","ENCODE"
"A549","Hists & Pols","H3K27ac","13:32315075-32316510","ENCODE"
"A549","Hists & Pols","H3K36me3","13:32317000-32317220","ENCODE"
"A549","Hists & Pols","H3K36me3","13:32317380-32317580","ENCODE"
"Aorta","Hists & Pols","H3K27ac","13:32314884-32315797","Roadmap Epigenomics"
"Aorta","Hists & Pols","H3K4me3","13:32314942-32316527","Roadmap Epigenomics"
"B cells (PB) Roadmap","Hists & Pols","H3K4me1","13:32314240-32315440","Roadmap Epigenomics"
"B cells (PB) Roadmap","Hists & Pols","H3K4me1","13:32315700-32317240","Roadmap Epigenomics"
"B cells (PB) Roadmap","Hists & Pols","H3K4me3","13:32314641-32316471","Roadmap Epigenomics"
"B cells (PB) Roadmap","Hists & Pols","H3K27ac","13:32314733-32316398","Roadmap Epigenomics"
"CD14+CD16- monocyte (CB)","DNase1 & TFBS","DNase1","13:32314662-32315711","BLUEPRINT"
"CD14+CD16- monocyte (CB)","DNase1 & TFBS","DNase1","13:32315753-32316198","BLUEPRINT"
"CD14+CD16- monocyte (CB)","Hists & Pols","H3K4me1","13:32314100-32315500","BLUEPRINT"
"CD14+CD16- monocyte (CB)","Hists & Pols","H3K4me1","13:32315760-32318900","BLUEPRINT"
"CD14+CD16- monocyte (CB)","Hists & Pols","H3K4me3","13:32314670-32316409","BLUEPRINT"
"CD14+CD16- monocyte (CB)","Hists & Pols","H3K27ac","13:32314949-32315516","BLUEPRINT"
"CD14+CD16- monocyte (VB)","DNase1 & TFBS","DNase1","13:32314703-32315702","BLUEPRINT"
"CD14+CD16- monocyte (VB)","DNase1 & TFBS","DNase1","13:32315746-32316102","BLUEPRINT"
"CD14+CD16- monocyte (VB)","Hists & Pols","H3K4me1","13:32314040-32315380","BLUEPRINT"
"CD14+CD16- monocyte (VB)","Hists & Pols","H3K4me1","13:32316000-32318880","BLUEPRINT"
"CD14+CD16- monocyte (VB)","Hists & Pols","H3K4me3","13:32314722-32316505","BLUEPRINT"
"CD14+CD16- monocyte (VB)","Hists & Pols","H3K27ac","13:32314790-32316364","BLUEPRINT"
"CD14+CD16- monocyte (VB)","Hists & Pols","H3K36me3","13:32316960-32317180","BLUEPRINT"
"CD38- naive B cell (CB)","Hists & Pols","H3K4me1","13:32314580-32315360","BLUEPRINT"
"CD38- naive B cell (CB)","Hists & Pols","H3K4me1","13:32316100-32316860","BLUEPRINT"
"CD38- naive B cell (VB)","Hists & Pols","H3K4me1","13:32314560-32315240","BLUEPRINT"
"CD4+ ab T cell (CB)","Hists & Pols","H3K4me1","13:32316080-32316460","BLUEPRINT"
"CD4+ ab T cell (VB)","Hists & Pols","H3K4me1","13:32314640-32315120","BLUEPRINT"
"CD4+ ab T cell (VB)","Hists & Pols","H3K4me1","13:32316160-32316420","BLUEPRINT"
"CD8+ ab T cell (CB)","DNase1 & TFBS","DNase1","13:32314875-32315507","BLUEPRINT"
"CD8+ ab T cell (CB)","Hists & Pols","H3K4me1","13:32314480-32315440","BLUEPRINT"
"CD8+ ab T cell (CB)","Hists & Pols","H3K4me1","13:32315840-32316880","BLUEPRINT"
"CD8+ ab T cell (CB)","Hists & Pols","H3K4me1","13:32317020-32317260","BLUEPRINT"
"CD8+ ab T cell (CB)","Hists & Pols","H3K4me3","13:32315440-32316073","BLUEPRINT"
"CD8+ ab T cell (VB)","Hists & Pols","H3K4me1","13:32314680-32314940","BLUEPRINT"
"CD8+ ab T cell (VB)","Hists & Pols","H3K4me1","13:32315940-32316420","BLUEPRINT"
"CM CD4+ ab T cell (VB)","Hists & Pols","H3K4me1","13:32314620-32315280","BLUEPRINT"
"CM CD4+ ab T cell (VB)","Hists & Pols","H3K4me1","13:32315700-32316860","BLUEPRINT"
"CM CD4+ ab T cell (VB)","Hists & Pols","H3K27ac","13:32314958-32315991","BLUEPRINT"
"DND-41","Hists & Pols","H3K4me1","13:32313920-32315460","ENCODE"
"DND-41","Hists & Pols","H3K4me1","13:32316040-32319820","ENCODE"
"DND-41","Hists & Pols","H3K27ac","13:32314338-32316839","ENCODE"
"DND-41","Hists & Pols","H3K4me3","13:32314438-32317265","ENCODE"
"DND-41","Hists & Pols","H3K4me2","13:32314499-32318428","ENCODE"
"DND-41","Hists & Pols","H3K9ac","13:32314634-32317206","ENCODE"
"DND-41","Hists & Pols","H3K36me3","13:32315960-32316840","ENCODE"
"DND-41","Hists & Pols","H3K36me3","13:32316880-32317940","ENCODE"
"DND-41","Hists & Pols","H4K20me1","13:32316040-32316480","ENCODE"
"EM CD8+ ab T cell (VB)","Hists & Pols","H3K27ac","13:32314875-32315934","BLUEPRINT"
"EPC (VB)","Hists & Pols","H3K4me3","13:32315373-32316524","BLUEPRINT"
