PeakClass	SpecID	PeakTick	PeakMass	SN	MinTick	MaxTick	MinMass	MaxMass	NumSpec	MinSN	MaxSN	MeanSN
1	18	3522	964.63	66.20	3522	3526	964.63	967.05	17	40.83	69.93	53.9658823529412
1	17	3522	964.63	64.70	3522	3526	964.63	967.05	17	40.83	69.93	53.9658823529412
1	10	3523	965.23	69.93	3522	3526	964.63	967.05	17	40.83	69.93	53.9658823529412
1	20	3523	965.23	69.39	3522	3526	964.63	967.05	17	40.83	69.93	53.9658823529412
1	5	3523	965.23	57.67	3522	3526	964.63	967.05	17	40.83	69.93	53.9658823529412
1	6	3523	965.23	51.11	3522	3526	964.63	967.05	17	40.83	69.93	53.9658823529412
1	9	3523	965.23	50.20	3522	3526	964.63	967.05	17	40.83	69.93	53.9658823529412
1	21	3523	965.23	50.08	3522	3526	964.63	967.05	17	40.83	69.93	53.9658823529412
1	19	3523	965.23	40.83	3522	3526	964.63	967.05	17	40.83	69.93	53.9658823529412
1	12	3524	965.84	55.41	3522	3526	964.63	967.05	17	40.83	69.93	53.9658823529412
1	11	3524	965.84	54.41	3522	3526	964.63	967.05	17	40.83	69.93	53.9658823529412
1	2	3524	965.84	52.43	3522	3526	964.63	967.05	17	40.83	69.93	53.9658823529412
1	22	3524	965.84	51.71	3522	3526	964.63	967.05	17	40.83	69.93	53.9658823529412
1	1	3524	965.84	45.08	3522	3526	964.63	967.05	17	40.83	69.93	53.9658823529412
1	13	3525	966.44	51.99	3522	3526	964.63	967.05	17	40.83	69.93	53.9658823529412
1	4	3525	966.44	42.98	3522	3526	964.63	967.05	17	40.83	69.93	53.9658823529412
1	3	3526	967.05	43.30	3522	3526	964.63	967.05	17	40.83	69.93	53.9658823529412
2	3	3534	971.89	37.66	3534	3534	971.89	971.89	1	37.66	37.66	37.66
3	21	3550	981.60	99.17	3550	3557	981.60	985.86	24	37.03	115.08	80.4908333333333
3	22	3550	981.60	80.26	3550	3557	981.60	985.86	24	37.03	115.08	80.4908333333333
3	17	3550	981.60	57.67	3550	3557	981.60	985.86	24	37.03	115.08	80.4908333333333
3	10	3551	982.21	115.08	3550	3557	981.60	985.86	24	37.03	115.08	80.4908333333333
3	6	3551	982.21	114.93	3550	3557	981.60	985.86	24	37.03	115.08	80.4908333333333
3	2	3551	982.21	99.13	3550	3557	981.60	985.86	24	37.03	115.08	80.4908333333333
3	4	3551	982.21	91.08	3550	3557	981.60	985.86	24	37.03	115.08	80.4908333333333
3	5	3551	982.21	87.99	3550	3557	981.60	985.86	24	37.03	115.08	80.4908333333333
3	9	3551	982.21	85.35	3550	3557	981.60	985.86	24	37.03	115.08	80.4908333333333
3	18	3551	982.21	76.86	3550	3557	981.60	985.86	24	37.03	115.08	80.4908333333333
3	12	3552	982.81	96.99	3550	3557	981.60	985.86	24	37.03	115.08	80.4908333333333
3	11	3552	982.81	90.70	3550	3557	981.60	985.86	24	37.03	115.08	80.4908333333333
3	19	3552	982.81	74.77	3550	3557	981.60	985.86	24	37.03	115.08	80.4908333333333
3	1	3552	982.81	71.76	3550	3557	981.60	985.86	24	37.03	115.08	80.4908333333333
3	16	3553	983.42	100.01	3550	3557	981.60	985.86	24	37.03	115.08	80.4908333333333
3	20	3553	983.42	87.07	3550	3557	981.60	985.86	24	37.03	115.08	80.4908333333333
3	3	3553	983.42	76.19	3550	3557	981.60	985.86	24	37.03	115.08	80.4908333333333
3	13	3553	983.42	74.94	3550	3557	981.60	985.86	24	37.03	115.08	80.4908333333333
3	8	3553	983.42	64.56	3550	3557	981.60	985.86	24	37.03	115.08	80.4908333333333
3	14	3554	984.03	78.40	3550	3557	981.60	985.86	24	37.03	115.08	80.4908333333333
3	15	3554	984.03	53.66	3550	3557	981.60	985.86	24	37.03	115.08	80.4908333333333
3	24	3555	984.64	51.57	3550	3557	981.60	985.86	24	37.03	115.08	80.4908333333333
3	23	3556	985.25	37.03	3550	3557	981.60	985.86	24	37.03	115.08	80.4908333333333
3	7	3557	985.86	66.61	3550	3557	981.60	985.86	24	37.03	115.08	80.4908333333333
4	24	3566	991.35	58.90	3566	3583	991.35	1001.76	37	6.30	103.83	39.5121621621622
4	21	3567	991.96	17.12	3566	3583	991.35	1001.76	37	6.30	103.83	39.5121621621622
4	16	3568	992.57	103.83	3566	3583	991.35	1001.76	37	6.30	103.83	39.5121621621622
4	8	3568	992.57	101.47	3566	3583	991.35	1001.76	37	6.30	103.83	39.5121621621622
4	15	3568	992.57	97.12	3566	3583	991.35	1001.76	37	6.30	103.83	39.5121621621622
4	7	3568	992.57	81.83	3566	3583	991.35	1001.76	37	6.30	103.83	39.5121621621622
4	23	3568	992.57	65.35	3566	3583	991.35	1001.76	37	6.30	103.83	39.5121621621622
4	4	3568	992.57	45.93	3566	3583	991.35	1001.76	37	6.30	103.83	39.5121621621622
4	5	3568	992.57	37.22	3566	3583	991.35	1001.76	37	6.30	103.83	39.5121621621622
4	19	3568	992.57	32.80	3566	3583	991.35	1001.76	37	6.30	103.83	39.5121621621622
4	14	3569	993.18	59.83	3566	3583	991.35	1001.76	37	6.30	103.83	39.5121621621622
4	13	3569	993.18	49.51	3566	3583	991.35	1001.76	37	6.30	103.83	39.5121621621622
4	11	3569	993.18	49.43	3566	3583	991.35	1001.76	37	6.30	103.83	39.5121621621622
4	1	3569	993.18	31.74	3566	3583	991.35	1001.76	37	6.30	103.83	39.5121621621622
4	22	3569	993.18	25.35	3566	3583	991.35	1001.76	37	6.30	103.83	39.5121621621622
4	2	3569	993.18	19.77	3566	3583	991.35	1001.76	37	6.30	103.83	39.5121621621622
4	3	3570	993.80	53.73	3566	3583	991.35	1001.76	37	6.30	103.83	39.5121621621622
4	2	3576	997.47	19.66	3566	3583	991.35	1001.76	37	6.30	103.83	39.5121621621622
4	5	3576	997.47	17.34	3566	3583	991.35	1001.76	37	6.30	103.83	39.5121621621622
4	22	3578	998.69	14.82	3566	3583	991.35	1001.76	37	6.30	103.83	39.5121621621622
4	16	3579	999.31	66.06	3566	3583	991.35	1001.76	37	6.30	103.83	39.5121621621622
4	1	3580	999.92	20.72	3566	3583	991.35	1001.76	37	6.30	103.83	39.5121621621622
4	18	3580	999.92	14.58	3566	3583	991.35	1001.76	37	6.30	103.83	39.5121621621622
4	22	3580	999.92	14.53	3566	3583	991.35	1001.76	37	6.30	103.83	39.5121621621622
4	17	3580	999.92	10.23	3566	3583	991.35	1001.76	37	6.30	103.83	39.5121621621622
4	9	3581	1000.53	24.59	3566	3583	991.35	1001.76	37	6.30	103.83	39.5121621621622
4	10	3581	1000.53	21.37	3566	3583	991.35	1001.76	37	6.30	103.83	39.5121621621622
4	5	3581	1000.53	13.67	3566	3583	991.35	1001.76	37	6.30	103.83	39.5121621621622
4	21	3581	1000.53	11.31	3566	3583	991.35	1001.76	37	6.30	103.83	39.5121621621622
4	13	3582	1001.15	47.89	3566	3583	991.35	1001.76	37	6.30	103.83	39.5121621621622
4	11	3582	1001.15	45.18	3566	3583	991.35	1001.76	37	6.30	103.83	39.5121621621622
4	4	3582	1001.15	41.17	3566	3583	991.35	1001.76	37	6.30	103.83	39.5121621621622
4	12	3582	1001.15	36.92	3566	3583	991.35	1001.76	37	6.30	103.83	39.5121621621622
4	20	3582	1001.15	27.26	3566	3583	991.35	1001.76	37	6.30	103.83	39.5121621621622
4	24	3583	1001.76	40.37	3566	3583	991.35	1001.76	37	6.30	103.83	39.5121621621622
4	19	3583	1001.76	37.05	3566	3583	991.35	1001.76	37	6.30	103.83	39.5121621621622
4	18	3569	993.18	6.30	3566	3583	991.35	1001.76	37	6.30	103.83	39.5121621621622
5	16	3596	1009.75	226.09	3596	3599	1009.75	1011.60	24	66.88	226.09	150.309583333333
5	24	3596	1009.75	169.96	3596	3599	1009.75	1011.60	24	66.88	226.09	150.309583333333
5	14	3597	1010.37	172.11	3596	3599	1009.75	1011.60	24	66.88	226.09	150.309583333333
5	10	3597	1010.37	146.71	3596	3599	1009.75	1011.60	24	66.88	226.09	150.309583333333
5	6	3597	1010.37	125.98	3596	3599	1009.75	1011.60	24	66.88	226.09	150.309583333333
5	7	3598	1010.98	176.02	3596	3599	1009.75	1011.60	24	66.88	226.09	150.309583333333
5	15	3598	1010.98	174.75	3596	3599	1009.75	1011.60	24	66.88	226.09	150.309583333333
5	5	3598	1010.98	173.68	3596	3599	1009.75	1011.60	24	66.88	226.09	150.309583333333
5	8	3598	1010.98	172.30	3596	3599	1009.75	1011.60	24	66.88	226.09	150.309583333333
5	9	3598	1010.98	165.72	3596	3599	1009.75	1011.60	24	66.88	226.09	150.309583333333
5	23	3598	1010.98	163.75	3596	3599	1009.75	1011.60	24	66.88	226.09	150.309583333333
5	1	3598	1010.98	145.68	3596	3599	1009.75	1011.60	24	66.88	226.09	150.309583333333
5	21	3598	1010.98	137.32	3596	3599	1009.75	1011.60	24	66.88	226.09	150.309583333333
5	19	3598	1010.98	136.54	3596	3599	1009.75	1011.60	24	66.88	226.09	150.309583333333
5	20	3598	1010.98	131.85	3596	3599	1009.75	1011.60	24	66.88	226.09	150.309583333333
5	22	3598	1010.98	116.20	3596	3599	1009.75	1011.60	24	66.88	226.09	150.309583333333
5	18	3598	1010.98	115.28	3596	3599	1009.75	1011.60	24	66.88	226.09	150.309583333333
5	17	3598	1010.98	66.88	3596	3599	1009.75	1011.60	24	66.88	226.09	150.309583333333
5	11	3599	1011.60	178.41	3596	3599	1009.75	1011.60	24	66.88	226.09	150.309583333333
5	4	3599	1011.60	162.89	3596	3599	1009.75	1011.60	24	66.88	226.09	150.309583333333
5	3	3599	1011.60	158.55	3596	3599	1009.75	1011.60	24	66.88	226.09	150.309583333333
