HGNC ID	Approved Symbol	Approved Name	Status	Previous Symbols	Synonyms	Chromosome	Accession Numbers	RefSeq IDs
HGNC:55	ABCC4	ATP binding cassette subfamily C member 4	Approved		MRP4, EST170205, MOAT-B, MOATB	13q32.1	U66682	NM_005845
HGNC:20293	ABHD13	abhydrolase domain containing 13	Approved	C13orf6	bA153I24.2, FLJ14906, BEM46L1	13q33.3	AK027812	NM_032859
HGNC:33904	ACOD1	aconitate decarboxylase 1	Approved	IRG1	CAD	13q22.3		NM_001258406
HGNC:21303	ADPRHL1	ADP-ribosylhydrolase like 1	Approved		ARH2	13q34	AJ313429	NM_138430
HGNC:369	AKAP11	A-kinase anchoring protein 11	Approved		KIAA0629, AKAP220, PRKA11, FLJ11304, DKFZp781I12161, PPP1R44	13q14.11	AB014529	NM_016248
HGNC:423	AKR1B1P4	aldo-keto reductase family 1 member B1 pseudogene 4	Approved	ALDRL4		13q14.13		NG_006989
HGNC:20266	ALG5	ALG5, dolichyl-phosphate beta-glucosyltransferase	Approved		bA421P11.2	13q13.3	AF088028	NM_013338
HGNC:32456	ALG11	ALG11, alpha-1,2-mannosyltransferase	Approved		KIAA0266, CDG1P	13q14.3	AK025456	NM_001004127
HGNC:436	ALOX5AP	arachidonate 5-lipoxygenase activating protein	Approved		FLAP	13q12.3	AH001462	NM_001629
HGNC:26360	AMER2	APC membrane recruitment protein 2	Approved	FAM123A	FLJ25477	13q12.13	AK055049	NM_152704
HGNC:39809	AMMECR1LP1	AMMECR1 like pseudogene 1	Approved			13q32.1		
HGNC:20265	ANKRD10	ankyrin repeat domain 10	Approved		FLJ20093	13q34	AK000100	
HGNC:39891	ANKRD10-IT1	ANKRD10 intronic transcript 1	Approved			13q34		
HGNC:42023	ANKRD20A9P	ankyrin repeat domain 20 family member A9, pseudogene	Approved			13q11		
HGNC:39707	ANKRD20A10P	ankyrin repeat domain 20 family member A10, pseudogene	Approved	ANKRD20A4P1		13q12.12		
HGNC:42737	ANKRD20A19P	ankyrin repeat domain 20 family member A19, pseudogene	Approved			13q12.12		
HGNC:39687	ANKRD26P2	ankyrin repeat domain 26 pseudogene 2	Approved			13q13.3		NG_006568
HGNC:39689	ANKRD26P3	ankyrin repeat domain 26 pseudogene 3	Approved	LINC00414		13q12.11		
HGNC:39690	ANKRD26P4	ankyrin repeat domain 26 pseudogene 4	Approved			13q12.3		
HGNC:32380	ARF4P3	ADP ribosylation factor 4 pseudogene 3	Approved			13q32.3		XM_372496
HGNC:37628	ARF4P4	ADP ribosylation factor 4 pseudogene 4	Approved			13q31.1		
HGNC:25482	ARGLU1	arginine and glutamate rich 1	Approved		FLJ10154	13q33.3	BC071587	NM_018011
HGNC:15607	ARHGEF7	Rho guanine nucleotide exchange factor 7	Approved		KIAA0142, PIXB, DKFZp761K1021, Nbla10314, DKFZp686C12170, BETA-PIX, COOL1, P85SPR, P85, P85COOL1, P50BP, PAK3, P50	13q34	D63476	NM_001113511
HGNC:39816	ARHGEF7-AS1	ARHGEF7 antisense RNA 1	Approved			13q34		
HGNC:40717	ARHGEF7-AS2	ARHGEF7 antisense RNA 2	Approved			13q34		
HGNC:41408	ARHGEF7-IT1	ARHGEF7 intronic transcript 1	Approved			13q34		
HGNC:39447	ARL2BPP3	ADP ribosylation factor like GTPase 2 binding protein pseudogene 3	Approved			13q13.3		NG_022943
HGNC:24046	ARL11	ADP ribosylation factor like GTPase 11	Approved		ARLTS1, FLJ33930	13q14.2	AF441378	NM_138450
HGNC:39399	ASNSP3	asparagine synthetase pseudogene 3	Approved			13q32.3		NG_021205
HGNC:820	ATP4B	ATPase H+/K+ transporting beta subunit	Approved		ATP6B	13q34		NM_000705
HGNC:34026	ATP5EP2	ATP synthase, H+ transporting, mitochondrial F1 complex, epsilon subunit pseudogene 2	Approved			13q12.2	EC567419	NR_002162
HGNC:39742	ATP5F1P1	ATP synthase, H+ transporting, mitochondrial Fo complex subunit B1 pseudogene 1	Approved			13q14.3		
HGNC:39508	ATP5G1P5	ATP synthase, H+ transporting, mitochondrial Fo complex subunit C1 (subunit 9) pseudogene 5	Approved			13q33.3		
HGNC:39852	ATP6V1G1P7	ATPase H+ transporting V1 subunit G1 pseudogene 7	Approved			13q33.1		
HGNC:870	ATP7B	ATPase copper transporting beta	Approved	WND		13q14.3	U11700	NM_000053
HGNC:13533	ATP8A2	ATPase phospholipid transporting 8A2	Approved		ATPIB, ML-1	13q12.13	AL137256	NM_016529
HGNC:39663	ATP8A2P2	ATPase phospholipid transporting 8A2 pseudogene 2	Approved			13q13.1		NG_028886
HGNC:42641	ATP8A2P3	ATPase phospholipid transporting 8A2 pseudogene 3	Approved			13q12.13		
HGNC:13552	ATP11A	ATPase phospholipid transporting 11A	Approved		ATPIH, ATPIS, KIAA1021	13q34	AB028944	NM_015205
HGNC:40645	ATP11A-AS1	ATP11A antisense RNA 1	Approved			13q34		
HGNC:33793	ATP11AUN	ATP11A upstream neighbor	Approved	C13orf35	FLJ26443, SMABLO1	13q34	AK129953	NM_207440
HGNC:13816	ATP12A	ATPase H+/K+ transporting non-gastric alpha2 subunit	Approved	ATP1AL1	HK, #945, 2	13q12.12	L42558	NM_001676
HGNC:32925	ATXN8	ataxin 8	Approved			13q21.33	DQ641254	
HGNC:10561	ATXN8OS	ATXN8 opposite strand (non-protein coding)	Approved	SCA8, KLHL1AS	NCRNA00003	13q21.33	AF126749	NR_002717
HGNC:49098	AZU1P1	azurocidin 1 pseudogene 1	Approved			13q14.11		
HGNC:20207	B3GLCT	beta 3-glucosyltransferase	Approved	B3GALTL	B3GTL, B3Glc-T	13q12.3	AB101481	NM_194318
HGNC:15732	BAGE5	BAGE family member 5	Approved		CT2.5	13cen, GRCh38 novel patch	AF339516	NM_182484
HGNC:39418	BASP1P1	brain abundant, membrane attached signal protein 1 pseudogene 1	Approved			13q12.12		NR_033774
HGNC:39596	BCAS2P3	BCAS2, pre-mRNA processing factor pseudogene 3	Approved			13q31.1		NG_021971
HGNC:49113	BCRP9	breakpoint cluster region pseudogene 9	Approved			13q21.32		
HGNC:39833	BCYRN1P3	brain cytoplasmic RNA 1, pseudogene 3	Approved			13q11		NG_005375
HGNC:16034	BIVM	basic, immunoglobulin-like variable motif containing	Approved		FLJ20159	13q33.1	AF411385	
HGNC:43690	BIVM-ERCC5	BIVM-ERCC5 readthrough	Approved			13q33.1	AB209312	NM_001204425
HGNC:23828	BMIQ2	body mass index QTL 2	Approved			13q14		
HGNC:49101	BNIP3P7	BCL2 interacting protein 3 pseudogene 7	Approved			13q11		
HGNC:24724	BORA	bora, aurora kinase A activator	Approved	C13orf34	FLJ22624	13q21.33	BC025367	NM_024808
HGNC:1101	BRCA2	BRCA2, DNA repair associated	Approved	FANCD1, FACD, FANCD	FAD, FAD1, BRCC2, XRCC11	13q13.1	U43746	NM_000059
HGNC:18617	BRCA3	breast cancer 3	Approved		BRCAX	13q21		
HGNC:37631	BRD7P5	bromodomain containing 7 pseudogene 5	Approved			13q32.1		
HGNC:42021	BRK1P2	BRICK1, SCAR/WAVE actin-nucleating complex subunit pseudogene 2	Approved			13q31.3		
HGNC:1126	BTF3P11	basic transcription factor 3 pseudogene 11	Approved	BTF3L1	HUMBTFB, TNFRSF11B, OPG, OCIF	13q22.3	M90354	NR_026983
HGNC:28732	C1QTNF9	C1q and TNF related 9	Approved		MGC48915, CTRP9, C1QTNF9A, AQL1	13q12.12	BC040438	NM_178540
HGNC:39906	C1QTNF9-AS1	C1QTNF9 antisense RNA 1	Approved			13q12.12		
